00:27:50.319 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished creating booking with invalid fields **************
00:27:50.323 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking **************
00:27:50.454 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is displayed **************
00:27:50.458 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting all bookings **************
00:27:50.746 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** All bookings are displayed **************
00:27:50.748 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Getting booking with invalid id **************
00:27:50.879 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished getting booking with invalid id **************
00:27:50.882 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Getting booking ids with invalid date filter **************
00:27:51.039 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished getting booking ids with invalid date filter **************
00:27:51.044 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with name filters **************
00:27:51.210 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Bookings with name filters are displayed **************
00:27:51.212 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:27:51.380 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:27:51.536 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:27:51.679 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking with date filters **************
00:27:51.833 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Updating non existing booking **************
00:27:52.152 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished updating non existing booking **************
00:27:52.154 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Updating booking **************
00:27:52.434 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is updated **************
00:27:52.436 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Updating booking with invalid data **************
00:27:52.790 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished updating booking with invalid data **************
00:27:52.792 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Partially updating booking **************
00:27:53.082 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is updated **************
00:27:53.084 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Partially updating non existing booking **************
00:27:53.236 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished partially updating non existing booking **************
00:27:53.238 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Deleting booking **************
00:27:53.528 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is deleted **************
00:27:53.531 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Partially updating booking with invalid data **************
00:27:53.893 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished partially updating booking with invalid data **************
00:27:53.895 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Deleting non existing booking **************
00:27:54.028 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished deleting non existing booking **************
00:30:29.137 [main] INFO  Assessment.API.e2e.TokenTest - ************** Creating Token **************
00:30:29.720 [main] INFO  Assessment.API.e2e.TokenTest - ************** Token is created **************
00:30:29.729 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Creating Booking **************
00:30:30.155 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is created **************
00:30:30.159 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Creating Booking with missing fields **************
00:30:30.305 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished creating booking with missing fields **************
00:30:30.310 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Creating booking with invalid fields **************
00:30:30.460 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished creating booking with invalid fields **************
00:30:30.468 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting booking **************
00:30:30.608 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is displayed **************
00:30:30.611 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Getting all bookings **************
00:30:30.915 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** All bookings are displayed **************
00:30:30.918 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Getting booking with invalid id **************
00:30:31.059 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished getting booking with invalid id **************
00:30:31.064 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Getting booking ids with invalid date filter **************
00:30:31.219 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished getting booking ids with invalid date filter **************
